sentiments,cleaned_review
neutral,the product is cheap and worked well for the first months but after that it started becoming unresponsive would plug it in because thought it was low in power but that didn solve the issue either use lap top and have lap desk where it has built in mouse pad area ve had it for years so was thinking it was too old and worn down and the mouse wasn able to read it so bought new mouse pad but still nothing tried updating drivers with various programs tweaked bunch of settings and followed the advice from several websites nothing so disconnected it and brought out my wired mouse and it isn working either this product even disabled my track pad but luckily found way to get it working blame this crap product as it literally almost bricked my laptop
negative,microphone died within week of receiving returned for refund and shelled out the monies for turtle beach instead 
positive,love it it so sleek and comfortable to use love the color and the light changing aspect 
neutral,stop working after few days do not buy this mouse 
neutral,definitley bigger then the last one we had
neutral,this thing works great if you keep it plugged in my speaker has sat on the charger for over week now and is less than half charged think got lemon my brother has this same speaker and his charges full overnight 
positive,the lights are entertaining it works well and it survived the delivery driver squashing the package
neutral,i use it with my chromebook
neutral,they are designed with mm jack and usb cable my gaming laptop has an output mm port and an input port for the mic normally use only usb headphones which is what thought this headset was apparently the usb only powers the lights useless will never buy from this company again they got my money which is all they were after 
neutral,i work in warehouse environment driving powered equipment this speaker last my entire hour shift and has taken multiple falls and impacts without getting damaged love it 
positive,got this for my mother as christmas present and she uses it every day and absolutely loves it 
neutral,doesn hold charge very long hard to click use stopped working all together have gone back to wired mouse much easier to use 
positive,the jbl is really good speaker it surpasses my expectations and it has great sound quality with phone settings you can switch up the sound to your satisfaction am impressed with the tracking too love this product and will continue to use amazon for most purchases overall would absolutely recommend this product to others but make sure you have the right charger and buy case for it so it easy to carry around
positive,great quality for the price
positive,have nothing bad to say it does it job and does it well
neutral,the charge doesn last long the light work then doesn at times have it to my granddaughter she likes it enough 
positive,the sound quality is great and it just plain fun 
neutral,the mic volume is bit low even on high 
neutral,doesn work at all for xbox one s
positive,excellent for price 
neutral,quick working after one month
neutral,wasn working for me only the left ear sound was coming out of tried doing return and it shipped back out but never got my refund back 
positive,low profile feels good in the hand responsive
neutral,after few months several of the keys stopped working would not recommend 
neutral,bought these because it is rechargeable however the power ran out so quick need to charge it at least once week my previous mouse use batteries and didn need to change it for at least half of year 
positive,perfect 
negative,stopped charging after months poor quality 
positive,it quiet and cute love all the colors and the battery last long time
neutral, 
neutral,don buy it waste your money 
neutral,they look cool but the volume doesn go high enough
neutral, updated after five months of use the keyboard suddenly died for no reason tried all troubleshooting could and it just doesn turn on turns on for about half second and turns back off guess you get what you pay for doesn last long whatsoever original review had been looking for wireless gaming keyboard that wasn loud and had backlighting it not the perfect keyboard and didn expect it to with that price the two things would change in their second version would be to make the rgb bit more versatile or customizable to save little on battery and make the keys feel little more clicky because hard to feel if the key went through sometimes overall love the weight its durability and slick look knocked it for two things but they are picky at this point 
neutral,while the mouse was ok at the beginning it is now lagging after about months of use ve had to order new mouse already to replace this one 
neutral,nice speaker
neutral,for the price you re getting something better than most other expensive headsets do want to say that the people who can get the mic to work need to stop using the splitter that thing is for older tower pc that use pair of ports one for the output and one for the input can use these on my laptop pc and use the mic fine without the splitter 
neutral,exactly what was needed description is accurate
positive,great sound
negative,a waste of my money doesn even charge on my laptop but hey guess you get what you pay for cause this is crap 
positive,i love the new headset ve gotten so much better of everything definitely recommend this product 
positive,i got this on sale during black friday it was great purchase works for camping trips and for trips to the river sound quality is never compromised and the volume goes way up great purchase 
neutral,this mouse worked perfectly for about months almost on the month mark exactly the scroll wheel stopped working it just spins and doesn move the cursor up and down the page looked to see if could return but the window closed month ago don be tempted by the cheap price should have stuck to name brand 
positive,headset works great sound is quite decent keeping in mind these arent sony headphones can go wrong for the price the lights gimmick does suck but who cares unless your yrs old
neutral,i needed wireless mouse for my new macbook pro that only has usb connections this mouse included an adapter that allowed the standard usb bluetooth receiver to be used in the usb port have only had an opportunity to use it in limited situations thus far but it seems very responsive and performed well the led lights are kinda cool but not really needed trying to see if there is way to use the mouse without the led lights on so can conserve the charge on the battery the only concern issue ve had thus far is that the charging cable connection to the mouse and the adapter don seem to be the most secure and couple times it seemed like the connection came loose and the mouse was no longer charging was still using my laptop while the mouse was charging via the usb port as recommended in the user manual the user manual specifically recommends not using plug in charging adapter like for most cell phones because it might overcharge the mouse and damage it it is recommended that you only use the provided cable and charge it via your laptop to avoid overcharging and damaging the mouse not certain how great an option this is since it seems to come loose and stop charging occasionally if continue to use my laptop while trying to charge the mouse we ll see how it goes in the future if it turns out that it was operator error may update my rating overall though the mouse feels good in my hand and it seems to work well doing everything necessary when need it 
negative,this item is poorly made battery died within minutes after full charge hours it was returned the same day it was delivered 
neutral,worked for minutes the first time turned on the mouse and then it just completely stopped working with my macbook charged it for days and still does not work 
positive,he loves them
positive,has good sound and my team can hear me well
positive,jbl charge waterproof portable bluetooth speaker gray best speaker ever 
neutral,i like the sound the power button is hard to push it 
positive,this is the best mouse that ve used in long time no batteries needed just charge it when needed ve used this for little over day and it doing great 
neutral,nd set now that the mic doesn work need my money back
positive,i got this head set for my son for his xbox he loves how comfortable it is and he said the sound is amazing he can now chat with his friends while playing his games 
neutral,it is easy to use
positive,i an artist so like listening to music while paint this pairs with my phone and listen and paint 
positive,great sound
neutral,lasted almost months before it started to screech at decibel that was like nails on chalkboard
positive, updated review edited the review because the company responded to their marketing promotion after while just gave it to my nephew few days ago and he really likes it bought this headset for my nephew for his gaming purpose did test if it works and am impressed with the quality for this price my gosh and it looks so cool in blue my nephew is gonna love it totally recommend the product 
neutral,wireless rechargeable keyboard
positive,i loved the sound cancelation for the audio and the mic is awesome it also has lights on the side which is cool at night 
negative,i ordered my first mouse it broke in two weeks returned reordered this one broke just few days after the return window closed don waste your money 
positive,very happy and true to its description 
positive,i use this set for my work office work remotely and am in meetings all the time and this headset is very comfortable and works great my wife and dogs are in the house and the noise cancellation works great obviously not for the microphone when you aren on mute great buy recommended to co worker and you as well 
neutral,long battery life due to sleep mode was impressed until scroll wheel stopped working would have otherwise recommended highly
neutral,it doesn work anymore after month when the return is no longer allowed then it stopped working 
neutral,feels high quality and arrived quickly fits small head on the smallest setting which was concern when ordering 
neutral,do not buy the product does not work for intended purposes using as mouse for my computer it lights up and thats it can leave zero stars would if could 
neutral,home pc
positive,love the sleek design easy set up fast charging and most importantly how quiet the mouse isit not the most ergonomic mouse and it lacks wrist support so have to stretch lot more but as long as you re not gaming this mouse is great 
negative,when bought this headset the mic is very bad and when talked in it my friends could barely hear me would have to scream into the mic for them to hear me also in order for the led lights to work you have to have pc also it says there noise cancelation and when tried could hear everything my friend said behind me and he was whispering the sound quality is ok but not good enough for almost the bass sucks too would not recommend 
positive,exactly what was looking for sleek and quiet and also pretty with the lights you can turn the rainbow lights off if you don want them on 
neutral,this is not working
positive,first set was ordered for xmas didn work had to order new pair so far so good with the new head set
positive,works as advertised great price 
positive,bought and love that they cancel out noise as well as the sound quality is great don love that you have to plug in the usb wire so they light up 
neutral,the charge for this mouse only lasts day very annoying and it isnt the most quiet either feels cheap performs meh dont waste your money 
positive,liked it better then expected sounds good and would recommend it to anyone for the price
positive,i had ordered these to replace my headset that went out and will admit these worked amazingly as console gamer it was tad frustrating that the cable split isnt longer but to be honest it doesnt even bother me now use it for when streaming on my pc and it perfect for it the mic quality is better than expected and the lights look really nice also you really cant beat the price 
neutral,the keyboard is wireless but find myself having to recharge the batteries times week other keyboard that those keyboard only require charging once week 
positive,purchased this for our laptop daughter loves it colors are great works good
positive, year update just wanted to chime in again and let everyone know couldn be happier with this keyboard and the company you wont find better bang for the buck on this website highly recommendedvery comfortable keyboard smooth keys with good curve on the top charges with usb type single charge lasts for around week
positive,it was great to begin with for the price wasn expecting lot however the scroll wheel quit working within the first times of using it which is one of the reasons purchased it to begin with 
neutral,good
neutral,i used it for about six weeks and it stopped working
positive,klim chroma rechargeable keyboard is great don use it for gaming so cannot address that but for regular typing and daily usage it can be beat had defective key and contacted klim their customer care was superior and they truly value their customers replacement was promptly sent after few questions highly recommend klim for not only their products but for company that stands behind their products and that values their customers have purchased two klim keyboards and would do so again if needed to purchase another one 
positive,this is very nice mouse for my needs like how it lights up especially when am using it in the dark which makes it easier to use and appreciate that do not have to buy batteries worth the purchase 
neutral,very poorly made uncomfortable even at highest sound setting it is annoyingly quiet net even worth the dollars it cost
negative,nothing it great with everything 
negative,the charger was real pain my kids stopped using it the nd week
positive,they sit comfortably on my head and they actually came ahead of time not to mention that they offer you really good deals 
neutral,it stopped working only after months 
positive,great budget headset 
positive,i really like how sleek this mouse is it extremely functional and the lights add cool futuristic type of vibe making my experience enjoyable every time another neat function is the silent clicker work early mornings so to not wake up my family with the constant clicking of noisy mouse is definitely luxury happy with my purchase 
positive,bring the party literally everywhere love thus thing it small but powerful so easy to cary and bring music to any situation 
positive,i love this product use it everyday great great sound don use any of my radios anymore you would not believe the sound that comes out if this small speaker 
positive,great product all the way around heard my sons speaker and was sold would like little more bass but what can you expect for small speaker very happy with my purchase 
neutral,on off switch too small like the way it lights up was always leaving the old mouse on add written review
positive,bought this for my new laptop bought and love this mouse the color changing amuses me so that is why thought hmmm ok will buy it and so happy did 
neutral,led are dim and battery life is short so need to plug in the keyboard more often than like to other than that it meets my expectations 
positive,my son loves it
neutral,this worked one time and then didn piece of crap
neutral,hubby says these are more comfy to wear than the ones bought him last christmas he plays cod and said that they cancel out the noise of the household going on around him and he able to wear them for several hours without them hurting his ears or head at all 
positive,i love the color rose gold and it works great on variety of surfaces just wish it would alert me when the battery is low so can charge it before need it for work 
positive,really slick aerodynamic mouse fits in your hand perfectly love the different blinking colors also comes with rechargeable batteries all you have to do plug into available slot on your computer and you are ready to go highly recommend 
positive,great keyboard
positive,i love that can charge it and not have to keep going through batteries its better than the last mouse had will upgrade my keyboard when it goes out 
neutral,i love this speaker and use it everyday its my second one as the first one only last years and then died got extend warranty with this one bought the same exact one as my last one 
neutral, and on time
neutral,all good 
negative,i really wanted to love this mouse but it is terrible the scroll hardly works and yes tried multiple mousepads add to that the inability to click core functionality of computer mouse and the whole thing is piece of crappy light up plastic 
positive,love the product bought for my microsoft surface pro and it works perfectly
positive,lasted exactly months then stopped working properly really loved the feel and accuracy when it worked but would expect better quality wouldn scroll and became jerky 
positive,great quality for the price noise cancelling is great and sound quality is awesome recommended 
positive,i like that this mouse is rechargeable feels weird in my hand and doesn move as fast as expect
neutral,not so comfortable on hand comparing to microsoft mouse and the refresh rate seems inferior the only superiority is it design for home purposes it is ok it have very quit click
positive,the team has been great working in their communications with customers highly recommend their products brought some for my brothers
neutral, 
positive,works perfect just notice the volume font not work from keyboard tho 
positive,sound quality is great comfortable to wear while gaming would definitely recommend 
positive,purchased for grandson is hit best part cord is not plastic its braded and cat won eat the cord he is beginner gamer 
positive,i love the sound quality as am using it for school also enjoyed how well the microphone worked too love the lights and feel like am in the zone whenever use it 
negative,i tried to charge my phone from percent and it killed the speaker they both died within half hour with the speaker being fully charged not deal breaker because the speaker does sound awesome just dont rely on charge from it 
positive,got this for my daughter and she loves it it is rechargeable and lights up she loves that it is so quiet when she is using it to play game 
positive,great price they work just fine they fit well am not picky person so thought they were perfect for gaming discord etc 
neutral,i use this mouse all day every day at my desk job and have had to charge maybe once week it never dies on me just take it upon myself keep it on the regular mouse mode as don need all of the colors flashing but have no complaints
positive,i purchased this merchandise for my son he is pleased with the quality of the product well worth the price 
neutral,may as well just leave it connected to the computer needs constant recharging 
neutral,colorful
positive,i bought one for my daughter years ago now it was my turn to have great sound 
positive,that its water proof sounds great
positive,perfect sound and quality perfect for those who are looking good headset 
neutral,works as advertised
neutral,good feel and ergonomics but scroll wheel broke at six weeks design plastic quality selection does not live up to common everyday use 
negative,i use this mouse for my laptop only when travel after about times using it the scroll no longer works even when completely charged unfortunately with such little use didn have much time to notice the defect and the return window has closed wouldn recommend it 
positive,i used this keyboard for regular day to day use and gaming first the left shift key failed after few months okay thought got another shift key couple of months later the top number one key failed okay thought again got number pad just no more exclamation points fine can yell at people anymore then the key failed now know this is dumb but seriously my response was fine ill use copy paste for the so go to google and fine to copy ctrl then got to type and use paste ctrl son of please don waste your money here get better keyboard for few more dollars from better manufacturer you deserve better also just like to say vvvvvvvvvvvv 
neutral,hate how slow and moving action is adjustments don work worse mouse ever had looks neat but that all 
positive,i just got new all in computer amd needed new mouse to bring some life to my conpletely white computer love the different colors it lights up also love the feel of the mouse and the size is perfect would recommend this mouse it affordable 
negative,it quit working it dead er than door knob 
positive,pretty flimsy but still good mouse for the price 
neutral,i would not recommend this mouse as it feels like the plastic will break on you at any second it very cheaply made and the light shines through the top layer of plastic which makes it look way worse 
positive,i ve had this headset for over year now it good headset to use if you re on budget and just need basic use the sound is pretty good the only complaint have is the mic sound quality was told by my friends that sound muffled but that is to be expected for headset for this price still highly recommend buying this though because it definitely is great headset for its cheap affordable price it easy to use and for me has been quite durable normally cheap headsets will start to degrade and tear from excessive use but found that this material has held up good for my uses have big ears and found it to be pretty comfortable for my ears over long period of use definitely recommend buying it now as the price has dropped when first bought it the price was around 
positive,headset works great my boys say they wished the mic was just tad bit longer 
neutral,battery doesn last long maybe hrs at time 
positive,great keyboard wish it was brighter big doesn have the same shortcuts another keyboard had laptop wise but good 
positive,this came with an charging attachment but why this uses normal cell phone charger port and all the intuitions are in chinese theres random button at the top and when press it nothing happens and dont know how to tell how much charge there is on it other than that really like it so far its very sleek 
positive,works great just feels little flimsy so not sure how it will hold up suppose it good value for the price the slowly changing colored led lights are pretty cool like that unlike the apple magic mouse you can use this mouse while it is charging the seller extended the warranty another months after registered it so that gives me little more confidence in the quality or at least the customer service was compensated by the seller for this review with refund of the purchase price of the mouse 
neutral,piece of junk doesn work probably why it on sale 
positive,love this thing especially when go fishing
positive,loved the headset perfect for gaming would definitely recommend 
positive,good for playing music
neutral,this speaker produces the bass that most small speakers don t
positive,great sound quality for the price and the mic works well too definitely an improvement from normal earbuds 
negative,it doesn move used for days and gave up really bad 
negative,bad quality already broke usb stick stopped working
positive,awesome
positive,love the color affects
positive,good price works well can survive long drops
neutral,my son whom move with my whole heart runs through headsets like they grow on trees unsure how or why it happens but several sets have been laid to rest it been about month and these still look brand new would recommend you by them if your child is serial headphone killer like mine is 
positive,i bought this speaker for any social events might attend and work work at fast food place and we love to listen to music as we clean up the store after close this speaker is perfect and actually loud especially for the size love this speaker to death 
negative,you have to scream into the mic and the volume is low 
neutral,stoped working after week
positive,this headset is an excellent choice for gamers whether you just want to hear your games up close and personal or you intend to stream live gameplay this headset is great 
positive,very satisfying to use and look at but after couple months the scroll wheel started being super rough and squeaky good value though 
positive,these are great value with very good sound they are not jbl but do have very clear sound 
positive,really nice product works perfect really good sound quality and the battery gives you lot of time
neutral,if you re programmer or generally use the ctrl shift key combo please skip this the left ctrl shift combination doesn work so you ll have to retrain yourself to use the right only apparently this is known and ongoing issue it not worth the time or effort 
neutral,everything wanted 
positive,i love this product there comfortable and they fit perfectly 
positive,love it great value
positive,bought this for my wife that is not techie for her birthday and she loves it she is playing music from her iphone all the time can believe how good the sound is 
neutral,usb is not compatible with the usb port of laptop or desktop 
positive,i bought this mouse recently for new laptop bought and it is perfect the mouse is an extremely portable wireless mouse it actually feels very comfortable while using it theres no side buttons or extras on it just simple portable mouse that cna connect via usb or with the included usb to usb adapter recommend this mouse because of the price and what you get for it 
positive,i love it the sound quality was great love the battery life rarely need the water proof part but bring into the shower almost everyday if you are looking for good speaker this one is good one 
positive,not for tablets and won accept return 
positive,great item
neutral,i bought this headset as replacement for work it works very well for what need it for 
positive,got this for my son birthday he loves it 
positive,i was debating between this speaker and the ultimate ears megaboom my friend actually bought the ue megaboom at the same time bought the jbl charge can say this speaker has more bass and is louder in volume prefer the directional speakers on this there is front where sound is clearer and louder and back don love how there isn strap or loop or something to grip but did buy really cool silicone case for that has strap and doesn alter the sound 
positive,i am so happy with this purchase can believe what great sounding portable speaker this is love this speaker so much that even just got case to protect it not that it needs but it built like tank and the other great thing is that it can even charge your phone if you need to but man awesome sound think it good price for it 
positive,solid battery life and great aesthetic worth every penny 
positive,i upgraded from jbl flip that couldn hold charge after about years was hesitant about buying speaker that has only driver but so far have zero complaints run speakers hard at my job and this one has no difficulty at all keeping up with the challenges give it it has huge battery that will certainly last you for hours have currently used it for roughly hours at work today at higher volumes and it claims to still be near full charge only time will tell another cool thing these speakers can do is connect to other speakers that have the same jbl connect feature other coworkers have compatible speakers that they love to hook up to it and it certainly turns work into party would highly recommend this speaker if you re looking for something that puts out high volume and has great battery life 
neutral,the scrolling wheel is already broken and havent even used the mouse for month 
positive,i got this to replace my white one that broke well let just say love it it stays charged very long time and the color change is beautiful
negative,you get what you pay for weak mic requires manual adjusting through computer sensitivity is low so you may have to raise it or scream into the mic 
positive,i love my speaker it my best friend 
positive,works well as described slim and easy to use even came with dongle for usb if your computer has it lights can be turned on and off 
positive,my daughter seems to be happy with it it must cancel noise because she can hear me when talking to her now just need some noise canceling headphones while she gaming lol
neutral,scroll button stopped working within weeks
positive,nice product at fair price like it loud and it is plenty loud 
neutral,i very much liked it
neutral,great little board but they need to alter the led settings mainly the thing needs to not fall asleep on me in the dark cuz its getting old 
positive,love the vivid color it has nice feature of the lights not staying on all the time so to save the battery life love that 
positive,great gift for year old grandson 
neutral,love this but it looses its juice within hours without it being plugged in work hour shift so have to plug it in during very busy shift so need one with battery
neutral,i have been using this mouse for days and the scroll wheel broke completely when pressed it it was alright in its short days comfortable but the scroll wheel clicked very loudly which didn like don waste your money 
positive,the scrolling wheel doesn work my daughter was so excited to use this but it won scroll other than that cute mouse 
positive,just like described very pleased we also had an issue with not getting our first speaker reached out to the company and they were so willing to work with us to get replacement sent out asap would highly recommend this company and product without hesitation 
neutral,haven had it year and have barely used it and it already stopped working right the mouse just goes all over the place on the screen and not where you try to put it 
neutral,this was pretty frustrating to use it kept shutting off and the tracking was pretty awful ended up throwing it away after about two weeks worth of use 
positive,my younger don first bought this mouse for his mac mini since then we fell in love with it and my wife bought this for her work laptopit nice to get the customization of color and also very ergonomic in use and effective in performancewe use this mouse in all kinds of setting desk lap bed and even in cars never had issuesawesome and looking forward to rd one to buy 
positive,awesome for gaming love it 
negative,it was nice and sleek it felt very cheaply made though and it died within weeks of having it wouldn turn on even charged it would not recommend buying it 
positive,i love this product
positive,nice quality beautiful cards 
neutral,i bought this month ago and taken care of it and now it can turn off you try to turn it off it turns on right way what waste of money don recommend buying jbl products 
neutral,i ve had this for few weeks and it already useless it won charge when connected horrible 
positive,this headset is really nice only big thing is that you can use the mic and lights at the same time it one or the other the mic makes me sound really clear and love how you can hear bass clearly 
positive,the sound quality is excellent charge capacity is incredible 
positive,works great one of the best headsets so far good for gaming 
positive,won recharge lasted not even week 
positive,awesome little speaker for traveling or hanging out by the pool
neutral,smooth clicking ran out of battery quickly so shut it off when not in use 
neutral,i had this keyboard for months and recently as other reviewers have mentioned the bluetooth receiver fell apart it was kind of loose in the usb port for while but managed to leave it alone however packing and unpacking my laptop more than usual on business trip jiggled it enough that it came out except the shell of the receiver is still stuck in the port will have to take it somewhere to have professional use pliers and whatever to unstick that without damaging the laptop as would likely do on my own while it was working the keyboard performed fine only had to plug it in to charge it few times since it didn even last year because one of the most essential elements was made with shoddy materials have to give stars though 
